Campaign,Date,Impressions,Clicks,Cost,Conversions
App Installs 1,2024-03-27,1412,16,179.52,1
App Installs 2,2024-01-30,4967,79,264.71,2
Shopping 4,2024-01-29,717,35,435.29,6
DSA 4,2024-02-13,2778,185,23.77,37
Prospecting 4,2024-01-13,1773,44,462.83,1
Prospecting 1,2024-04-28,3317,173,488.13,32
DSA 3,2024-03-14,1145,55,501.05,8
Retargeting 1,2024-04-19,1069,14,152.18,1
Retargeting 2,2024-02-17,1327,48,282.98,10
Prospecting 1,2024-03-18,2216,126,427.06,22
App Installs 3,2024-04-28,1901,90,161.99,11
App Installs 2,2024-04-15,2299,133,508.85,26
Brand 3,2024-01-28,3084,117,58.39,26
App Installs 3,2024-01-18,4589,172,550.44,21
Retargeting 4,2024-02-16,4915,139,359.06,31
Retargeting 1,2024-01-20,1633,74,72.73,2
App Installs 4,2024-03-17,1810,118,264.85,4
DSA 1,2024-03-28,4834,133,340.87,31
Shopping 2,2024-02-28,2685,171,217.3,14
Brand 1,2024-04-21,2657,207,461.94,28
App Installs 3,2024-04-07,2944,202,314.44,13
Retargeting 3,2024-03-03,4918,377,555.01,87
Brand 3,2024-01-31,1416,106,529.66,22
Brand 4,2024-04-14,2473,176,569.23,6
Brand 2,2024-02-03,4863,309,94.47,39
Shopping 2,2024-04-01,3966,307,558.77,59
Prospecting 4,2024-01-16,3768,300,396.93,36
Retargeting 2,2024-01-01,2340,33,32.2,4
Brand 1,2024-03-06,982,25,545.14,5
Retargeting 4,2024-02-01,2781,158,144.26,7
DSA 4,2024-02-22,3834,89,76.22,10
DSA 4,2024-04-03,943,53,590.82,2
Prospecting 4,2024-01-24,1395,38,130.32,4
Prospecting 1,2024-01-07,4289,117,555.49,14
App Installs 2,2024-01-22,4928,337,582.02,78
DSA 2,2024-02-18,4478,195,521.5,44
Brand 4,2024-03-30,3698,105,474.76,13
App Installs 1,2024-04-05,4486,93,192.09,22
Prospecting 2,2024-01-08,968,13,296.54,3
Shopping 2,2024-02-21,1156,80,59.74,2
Brand 3,2024-04-29,2516,127,43.05,4
Prospecting 2,2024-03-26,2173,123,202.23,9
App Installs 1,2024-02-28,2957,124,558.83,29
Shopping 3,2024-04-22,1319,19,143.63,1
Brand 3,2024-03-19,2501,89,111.49,18
App Installs 1,2024-04-30,4833,50,493.92,4
Retargeting 3,2024-02-06,2666,48,82.08,7
Shopping 3,2024-03-05,2225,134,138.09,22
DSA 4,2024-04-16,2557,187,510.74,7
Prospecting 3,2024-01-21,861,8,467.25,1
