campaign_name,reporting_starts,impressions,link_clicks,spend,purchases
Video 1,04/06/2024,2516,208,309.73,41
Awareness 2,01/17/2024,1108,106,87.72,9
Lookalike 2,04/16/2024,2134,46,312.16,3
Video 1,02/19/2024,1456,61,331.29,15
Video 1,04/10/2024,2027,125,387.63,21
Video 2,03/13/2024,2806,166,197.52,23
Video 5,04/09/2024,2786,221,423.75,61
Lookalike 4,02/03/2024,3618,142,248.0,17
Awareness 3,02/21/2024,3082,173,279.9,6
Retention 3,03/29/2024,2932,195,316.74,7
Retention 1,02/13/2024,601,47,415.56,12
Conversion 1,04/21/2024,1673,64,228.85,13
Retention 3,02/04/2024,950,38,338.52,9
Awareness 4,04/04/2024,2877,201,96.75,17
Awareness 2,01/09/2024,3510,206,177.65,9
Conversion 5,01/04/2024,3306,192,74.01,49
Retention 1,02/28/2024,1189,106,102.32,4
Lookalike 5,02/20/2024,1876,140,134.18,35
Lookalike 2,04/21/2024,3190,56,177.02,10
Awareness 3,04/05/2024,2803,173,164.75,44
Lookalike 2,04/19/2024,1567,27,36.6,7
Retention 5,01/03/2024,3051,104,104.93,21
Lookalike 1,01/29/2024,2341,216,296.61,41
Conversion 3,02/24/2024,2891,241,147.87,70
Awareness 5,04/15/2024,3888,173,124.62,26
Video 3,03/12/2024,2026,131,18.2,39
Video 3,02/05/2024,2894,112,312.72,17
Conversion 3,01/25/2024,3928,151,300.41,43
Retention 5,02/21/2024,2518,201,406.36,49
Conversion 3,02/03/2024,3188,85,26.07,13
Awareness 5,04/14/2024,2057,98,30.36,21
Retention 4,04/26/2024,1805,138,111.73,24
Conversion 5,01/24/2024,2477,100,88.94,20
Conversion 5,04/07/2024,799,43,337.3,9
Retention 2,04/05/2024,3184,291,299.68,26
Conversion 3,02/29/2024,2122,173,159.12,17
Lookalike 5,01/10/2024,2327,45,290.96,8
Awareness 3,02/22/2024,1196,68,392.36,9
Lookalike 4,03/13/2024,3966,347,74.75,29
Awareness 4,02/12/2024,986,41,326.32,9
Retention 2,03/14/2024,1683,116,17.05,12
Retention 4,03/22/2024,2405,196,354.19,12
Awareness 5,01/26/2024,2052,105,222.67,3
Conversion 1,03/27/2024,457,41,344.23,7
Lookalike 3,01/17/2024,2966,229,113.43,61
Lookalike 1,02/08/2024,1971,113,148.16,5
Conversion 2,02/13/2024,2267,174,274.42,21
Awareness 4,01/03/2024,1871,147,86.72,40
Retention 5,03/05/2024,1318,101,72.07,23
Retention 3,04/08/2024,904,41,297.99,1
Video 1,01/07/2024,2952,56,447.69,11
Lookalike 2,01/27/2024,2107,111,68.76,10
Lookalike 5,03/18/2024,1633,82,58.93,13
Retention 1,02/06/2024,2115,181,60.64,40
Lookalike 3,04/16/2024,3614,86,101.41,7
Video 5,03/04/2024,1226,55,193.24,4
Retention 1,04/26/2024,3218,303,158.81,9
Lookalike 5,01/10/2024,3821,243,229.94,69
Lookalike 3,02/29/2024,1448,101,213.69,29
Lookalike 3,04/12/2024,808,67,395.25,17
Conversion 1,01/02/2024,2144,166,56.32,38
Retention 5,02/04/2024,3117,218,157.97,59
Lookalike 4,02/04/2024,1926,162,94.55,22
Awareness 2,01/15/2024,3225,281,362.96,57
Retention 1,02/23/2024,3251,249,441.98,64
Video 4,04/09/2024,2377,197,310.1,15
Conversion 2,03/02/2024,2904,50,312.74,12
Awareness 3,01/02/2024,862,77,206.7,3
Video 3,03/07/2024,3543,277,329.84,25
Video 2,03/02/2024,3219,239,56.43,49
Conversion 5,04/24/2024,3118,226,182.42,57
Video 4,04/19/2024,623,9,421.45,1
Awareness 3,02/05/2024,3961,115,341.87,13
Lookalike 2,01/11/2024,2476,84,294.84,11
Awareness 4,02/10/2024,2219,184,209.92,48
Lookalike 1,03/12/2024,2437,190,22.73,26
Video 3,04/23/2024,400,34,359.43,9
Video 3,04/15/2024,2703,88,307.09,25
Lookalike 5,03/17/2024,3744,127,212.69,23
Awareness 2,01/01/2024,3335,236,326.42,14
Conversion 5,02/17/2024,1854,158,434.53,17
Lookalike 4,01/14/2024,587,53,229.2,13
Conversion 2,02/28/2024,2902,91,67.52,23
Retention 5,01/16/2024,3335,145,344.36,6
Awareness 4,01/01/2024,2273,161,430.94,10
Video 4,04/28/2024,3415,65,421.86,16
Video 2,01/14/2024,3599,335,92.08,62
Awareness 4,02/23/2024,3093,204,398.97,33
Video 3,02/27/2024,3236,258,134.01,74
Retention 3,04/17/2024,965,48,319.51,11
Video 2,01/26/2024,3925,163,335.52,29
Retention 2,03/31/2024,2956,223,313.68,62
Retention 3,03/12/2024,2463,150,292.04,33
Awareness 5,02/06/2024,2787,176,305.21,25
Awareness 1,03/26/2024,3710,59,61.31,7
Lookalike 3,01/19/2024,1218,45,356.71,13
Lookalike 3,04/14/2024,3228,263,103.74,46
Awareness 2,04/05/2024,819,55,308.85,9
Video 3,03/29/2024,1992,70,356.17,17
Lookalike 3,03/11/2024,1962,94,431.17,27
Lookalike 4,04/16/2024,453,35,103.34,9
Retention 5,04/04/2024,2995,224,296.72,52
Video 2,03/28/2024,1204,97,434.47,10
Lookalike 1,02/24/2024,1165,112,334.76,6
Conversion 1,02/12/2024,2679,100,85.0,25
Awareness 5,01/07/2024,3306,313,32.37,87
Video 3,01/10/2024,3853,274,228.39,50
Conversion 5,01/21/2024,2552,85,94.98,4
Awareness 2,03/25/2024,2624,159,55.0,14
Conversion 5,03/01/2024,1756,80,110.02,18
Video 3,02/27/2024,3773,297,297.45,18
Retention 3,02/18/2024,3030,203,285.19,58
Lookalike 5,04/15/2024,1980,72,329.93,2
Conversion 2,02/11/2024,2506,208,208.82,8
Video 5,03/09/2024,737,70,87.82,20
Lookalike 4,04/16/2024,2967,61,306.6,14
Lookalike 4,03/23/2024,1242,75,320.69,22
Lookalike 1,01/12/2024,3459,253,25.33,56
Lookalike 2,04/26/2024,622,18,124.58,0
Conversion 1,02/19/2024,2069,99,289.14,14
Lookalike 5,01/06/2024,2590,40,328.32,1
Lookalike 3,03/18/2024,1865,175,61.17,42
Lookalike 1,03/01/2024,1553,124,205.39,16
Retention 5,02/07/2024,2585,87,339.84,21
Retention 3,01/02/2024,1620,117,412.66,28
Video 5,02/20/2024,3983,247,68.61,7
Video 3,01/28/2024,2642,252,147.54,58
Awareness 5,04/16/2024,3045,266,76.97,21
Conversion 1,04/18/2024,1195,29,306.88,5
Video 3,01/13/2024,2289,159,46.82,33
Retention 2,01/13/2024,3372,216,428.92,27
Conversion 3,03/19/2024,2937,61,99.17,9
Conversion 3,02/24/2024,3240,209,261.02,26
Retention 4,02/05/2024,419,17,356.76,3
Conversion 4,02/15/2024,950,69,159.23,11
Conversion 3,04/19/2024,2394,148,91.46,28
Retention 1,04/24/2024,2606,82,334.09,16
Lookalike 4,04/08/2024,3879,225,28.57,42
Video 5,03/01/2024,1271,116,254.94,20
Retention 3,01/18/2024,1898,91,402.78,17
Awareness 2,04/18/2024,2452,143,187.6,23
Video 2,03/13/2024,3202,93,238.65,13
Video 3,01/06/2024,3100,276,78.6,62
Retention 1,03/26/2024,3518,198,42.34,25
Retention 4,04/22/2024,2521,232,172.14,36
Lookalike 5,03/22/2024,563,55,155.97,12
Conversion 4,03/24/2024,3819,298,266.7,54
Awareness 3,02/18/2024,1896,123,405.73,6
Retention 4,04/23/2024,2515,124,370.5,15
Video 1,03/06/2024,427,24,75.45,1
Conversion 1,03/25/2024,1266,35,83.45,6
