CampaignName,StatDate,Impressions,Clicks,Cost,Conversions
GenZ Push 6,2024/01/12,1101,24,209.21,2
In-Feed 1,2024/04/26,1096,75,233.17,8
GenZ Push 3,2024/01/02,1928,67,325.91,5
GenZ Push 1,2024/01/28,1712,94,371.68,16
In-Feed 6,2024/04/24,3337,397,307.36,25
In-Feed 1,2024/01/19,3284,360,61.64,43
Creator Collab 1,2024/04/29,1542,104,330.98,20
In-Feed 2,2024/03/12,662,13,246.36,0
In-Feed 4,2024/02/07,3209,246,348.5,11
In-Feed 4,2024/03/12,472,48,121.74,5
In-Feed 6,2024/04/16,1219,27,10.91,1
In-Feed 4,2024/04/26,808,68,340.29,6
Creator Collab 1,2024/03/17,416,13,112.57,2
GenZ Push 6,2024/03/01,2680,182,171.35,10
Spark Ads 2,2024/03/15,1828,130,222.85,22
Spark Ads 2,2024/01/07,898,46,334.98,1
GenZ Push 3,2024/02/07,1779,110,347.48,8
Spark Ads 5,2024/04/06,2404,94,242.37,14
Creator Collab 3,2024/02/04,2527,132,127.0,22
GenZ Push 2,2024/03/07,692,50,140.1,1
GenZ Push 2,2024/01/14,1827,178,162.44,32
Creator Collab 5,2024/03/19,933,65,317.68,10
Spark Ads 1,2024/03/02,2009,132,38.27,21
GenZ Push 5,2024/03/07,1576,140,61.44,13
GenZ Push 2,2024/01/17,1005,91,20.64,14
Creator Collab 1,2024/02/24,3118,133,56.38,4
Spark Ads 2,2024/01/14,618,13,189.17,1
Spark Ads 3,2024/01/06,3002,214,31.93,6
Spark Ads 5,2024/01/27,1535,133,289.18,21
Creator Collab 6,2024/04/30,1056,91,20.83,3
GenZ Push 6,2024/03/19,2674,146,69.41,15
Creator Collab 1,2024/03/08,2368,182,46.67,21
Creator Collab 5,2024/01/01,3231,126,114.29,22
Spark Ads 6,2024/03/16,1176,131,324.98,13
Creator Collab 4,2024/02/24,2100,183,49.71,30
Creator Collab 1,2024/02/29,2406,102,51.75,20
Spark Ads 5,2024/04/02,2428,81,292.04,11
Spark Ads 5,2024/04/04,636,33,52.82,2
GenZ Push 3,2024/04/19,3114,366,174.26,42
In-Feed 6,2024/02/17,1073,113,341.06,18
Creator Collab 4,2024/03/07,352,42,191.91,1
Spark Ads 1,2024/04/04,788,27,158.23,3
Creator Collab 4,2024/01/16,565,31,83.66,1
Creator Collab 5,2024/03/16,2039,188,113.05,27
GenZ Push 4,2024/03/26,3397,336,248.22,28
In-Feed 1,2024/02/02,2284,162,64.53,15
In-Feed 6,2024/01/07,2336,100,358.69,1
Spark Ads 6,2024/02/11,2340,205,369.67,16
Creator Collab 5,2024/04/08,1540,126,45.64,3
In-Feed 3,2024/03/10,2208,88,254.97,9
GenZ Push 4,2024/04/22,2514,187,362.45,2
Spark Ads 1,2024/01/05,1871,121,325.56,11
Creator Collab 2,2024/03/03,2580,221,298.37,39
In-Feed 5,2024/03/27,850,43,153.96,6
In-Feed 5,2024/04/19,3003,226,209.58,22
Creator Collab 4,2024/03/19,2375,60,107.45,7
GenZ Push 1,2024/01/17,3439,405,128.58,6
GenZ Push 6,2024/02/13,1728,174,226.07,27
In-Feed 1,2024/03/25,698,43,377.02,3
Creator Collab 6,2024/01/09,1314,57,125.48,1
GenZ Push 4,2024/03/25,768,41,17.29,2
In-Feed 4,2024/03/16,2626,187,165.83,2
Spark Ads 4,2024/01/13,1596,92,154.41,10
Creator Collab 2,2024/03/19,1676,116,310.24,15
GenZ Push 1,2024/04/17,1788,209,84.65,27
Creator Collab 2,2024/03/20,1477,68,120.01,8
Spark Ads 1,2024/03/13,3239,338,45.05,25
In-Feed 3,2024/03/05,2049,83,304.39,11
GenZ Push 3,2024/03/20,2073,178,125.94,15
In-Feed 6,2024/03/07,3050,293,76.82,3
Creator Collab 4,2024/02/04,2662,186,254.5,30
In-Feed 4,2024/01/19,2618,242,32.16,11
Creator Collab 4,2024/02/10,916,86,293.25,14
Spark Ads 6,2024/01/21,2896,116,162.6,19
GenZ Push 2,2024/01/04,3113,249,160.17,7
Creator Collab 6,2024/04/25,1571,104,217.14,9
Spark Ads 3,2024/03/25,1127,40,60.48,2
Creator Collab 1,2024/01/08,2939,309,366.6,31
Spark Ads 4,2024/04/24,1585,127,330.85,23
GenZ Push 6,2024/04/17,3051,261,43.41,49
Creator Collab 5,2024/03/26,1266,39,281.76,7
GenZ Push 3,2024/02/12,2333,253,98.09,8
In-Feed 1,2024/01/23,3365,317,356.14,16
Creator Collab 4,2024/03/09,1424,91,104.09,11
GenZ Push 6,2024/02/01,3165,363,127.1,32
GenZ Push 1,2024/03/23,893,50,274.8,8
Spark Ads 6,2024/01/31,3328,286,358.11,40
GenZ Push 6,2024/01/16,2563,149,246.41,21
Creator Collab 3,2024/02/08,2112,124,346.62,10
Spark Ads 4,2024/03/21,3399,148,87.84,26
GenZ Push 1,2024/04/15,3440,290,302.05,17
In-Feed 4,2024/04/22,2229,208,352.8,15
Spark Ads 5,2024/04/03,956,85,197.34,6
GenZ Push 2,2024/03/21,2156,193,291.93,25
In-Feed 3,2024/03/14,2925,98,158.24,12
Spark Ads 6,2024/04/07,753,26,201.06,5
